fire_year,report_date,county,latitude,longitude,total_acres,general_cause
1976,10/18/76,Clackamas,45.13568889,-121.6556889,3,Debris Burning
1976,10/19/76,Tillamook,45.45521944,-122.2680028,1,Debris Burning
1976,11/6/76,Josephine,42.42615833,-122.8197194,3,Debris Burning
1976,11/12/76,Linn,44.47933056,-121.6661806,4,Debris Burning
1976,12/1/76,Douglas,42.93275556,-122.3665972,10,Debris Burning
1976,12/5/76,Curry,42.79125278,-123.6539417,55,Debris Burning
1977,1/8/77,Jackson,42.13469444,-121.4283944,4,Debris Burning
1977,1/26/77,Lane,44.19128889,-121.8697111,40,Debris Burning
1977,1/30/77,Lane,44.09202222,-121.7060972,1,Debris Burning
1977,2/14/77,Jackson,42.41132222,-122.9565167,2.75,Debris Burning
1977,2/18/77,Wallowa,45.91208333,-116.4896194,95,Debris Burning
1977,2/19/77,Klamath,43.60950278,-120.4839611,21,Debris Burning
1977,2/19/77,Wallowa,45.25848889,-115.1920722,2,Debris Burning
1977,2/19/77,Yamhill,45.32528056,-122.7310972,1,Debris Burning
1977,2/24/77,Lake,42.40443333,-119.6735361,374,Debris Burning
1977,3/5/77,Lane,44.19544444,-122.4566778,3,Debris Burning
1977,3/21/77,Josephine,42.1475,-122.3482472,3,Debris Burning
1977,4/4/77,Klamath,42.31878611,-120.5426083,29,Debris Burning
1977,4/4/77,Josephine,42.54224722,-122.5838944,15,Debris Burning
1977,4/5/77,Umatilla,45.69537778,-117.6156778,2,Debris Burning
1977,4/5/77,Benton,44.58609167,-122.4735556,10,Debris Burning
1977,4/5/77,Josephine,42.05991111,-122.3870028,1,Debris Burning
1977,4/6/77,Baker,44.70898889,-117.8971194,1,Debris Burning
1977,4/7/77,Klamath,42.72617222,-120.131475,7,Debris Burning
1977,4/7/77,Klamath,42.79759167,-120.5433111,1,Debris Burning
1977,4/7/77,Klamath,42.13428889,-121.7614194,5,Debris Burning
1977,4/7/77,Clackamas,45.35302222,-121.7798861,10,Debris Burning
1977,4/11/77,Josephine,42.39668056,-122.5446889,1,Debris Burning
1977,4/11/77,Josephine,42.51309722,-122.5644972,2,Debris Burning
1977,4/12/77,Klamath,42.56509722,-120.738875,1,Debris Burning
1977,4/21/77,Klamath,42.47803889,-120.8751972,3,Debris Burning
1977,4/25/77,Klamath,42.46485,-120.4641139,1,Debris Burning
1977,4/26/77,Jefferson,44.48696667,-120.4766833,5,Debris Burning
1977,4/27/77,Baker,44.62304167,-116.0581306,8,Debris Burning
1977,6/20/77,Yamhill,45.42675556,-122.6908889,2,Debris Burning
1977,6/29/77,Columbia,45.87403611,-122.6709222,29,Debris Burning
1977,6/30/77,Clatsop,45.97245833,-122.505875,18,Debris Burning
1977,6/30/77,Umatilla,45.49247778,-117.3977389,70,Debris Burning
1977,7/2/77,Curry,42.90424444,-123.5367944,1,Debris Burning
1977,7/14/77,Lincoln,44.76085833,-122.2244056,2,Debris Burning
1977,7/16/77,Lane,43.96070833,-122.8225611,1,Debris Burning
1977,7/29/77,Columbia,46.11983056,-122.6455583,1,Debris Burning
1977,7/31/77,Josephine,42.19110833,-122.3483278,2,Debris Burning
1977,8/1/77,Tillamook,45.26533056,-122.2851333,11,Debris Burning
